CNPJ;NOME
02711381000142;ATACADO DO PEIXE LTDA.
19904395000185;PEIXE BOI EMPREENDIMENTOS IMOBILIARIOS LTDA
45758694000169;PEIXE 30 TECNOLOGIA E SOLUCOES DIGITAIS S.A
40179803000170;MQC COMERCIO DE CARNES E PEIXES LTDA
31820573000195;TROPICAL CRIACAO DE PEIXES E CAMAROES LTDA
30382932000107;MFR RUSSO PESCADOS LTDA
01082018000142;DISK PEIXE LTDA
10964666000113;DAGUA AQUARIOS ACESSORIOS E PEIXES ORNAMENT LTDA
20772399000136;ANA PAULA MAURICIO DE LACERDA LTDA
07828807000166;TILAPIA DO AGRESTE CRIACAO E COMERCIO DE PEIXES LTDA